"Type","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s","Requests Failed/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999","100%"
"POST","/PHP/SearchItemsByCategory.php?category=10&categoryName=Antiques+%26+Art+",4626,0,47,81,0,2125,1393,2.57,0.00,47,62,94,120,190,250,340,440,2100,2100,2100,2100
"POST","/PHP/SearchItemsByCategory.php?category=10&categoryName=Books+",4607,0,47,78,0,2096,1375,2.56,0.00,47,62,94,120,170,230,320,410,2000,2100,2100,2100
"POST","/PHP/SearchItemsByCategory.php?category=10&categoryName=Business%2C+Office+%26+Industrial+",4734,0,47,81,0,2125,1423,2.63,0.00,47,63,110,130,190,250,330,410,2100,2100,2100,2100
"POST","/PHP/SearchItemsByCategory.php?category=10&categoryName=Clothing+%26+Accessories+",4695,0,47,75,0,2019,1409,2.61,0.00,47,62,94,120,170,230,310,360,1800,2000,2000,2000
"POST","/PHP/SearchItemsByCategory.php?category=10&categoryName=Coins+",4664,0,47,79,0,2109,1375,2.59,0.00,47,63,94,120,170,250,330,390,1800,2100,2100,2100
"POST","/PHP/SearchItemsByCategory.php?category=10&categoryName=Computers+",4572,0,47,83,0,2125,1383,2.54,0.00,47,63,110,130,190,250,340,410,2000,2100,2100,2100
"POST","/PHP/SearchItemsByCategory.php?category=13&categoryName=Antiques+%26+Art+",4590,0,47,77,0,1956,1393,2.55,0.00,47,62,94,120,170,230,310,390,1800,2000,2000,2000
"POST","/PHP/SearchItemsByCategory.php?category=13&categoryName=Books+",4613,0,47,81,0,2086,1375,2.56,0.00,47,63,110,130,170,240,330,390,2000,2100,2100,2100
"POST","/PHP/SearchItemsByCategory.php?category=13&categoryName=Business%2C+Office+%26+Industrial+",4636,0,47,82,0,3043,1423,2.57,0.00,47,63,110,130,190,240,340,420,2000,3000,3000,3000
"POST","/PHP/SearchItemsByCategory.php?category=13&categoryName=Clothing+%26+Accessories+",4664,0,47,79,0,2117,1409,2.59,0.00,47,63,94,130,190,250,320,390,2000,2100,2100,2100
"POST","/PHP/SearchItemsByCategory.php?category=13&categoryName=Coins+",4538,0,47,82,0,2078,1375,2.52,0.00,47,63,110,130,170,230,330,420,2100,2100,2100,2100
"POST","/PHP/SearchItemsByCategory.php?category=13&categoryName=Computers+",4642,0,47,82,0,2070,1383,2.58,0.00,47,63,110,130,190,250,340,420,2000,2100,2100,2100
"POST","/PHP/SearchItemsByCategory.php?category=16&categoryName=Antiques+%26+Art+",4687,0,40,79,0,2093,1393,2.60,0.00,40,62,94,130,190,250,330,420,1800,2100,2100,2100
"POST","/PHP/SearchItemsByCategory.php?category=16&categoryName=Books+",4569,0,47,78,0,2111,1375,2.54,0.00,47,62,94,120,170,230,320,380,1900,2100,2100,2100
"POST","/PHP/SearchItemsByCategory.php?category=16&categoryName=Business%2C+Office+%26+Industrial+",4625,0,47,78,0,2070,1423,2.57,0.00,47,63,94,130,170,230,310,380,1800,2100,2100,2100
"POST","/PHP/SearchItemsByCategory.php?category=16&categoryName=Clothing+%26+Accessories+",4583,0,47,81,0,2086,1409,2.54,0.00,47,63,100,130,190,250,330,410,1900,2100,2100,2100
"POST","/PHP/SearchItemsByCategory.php?category=16&categoryName=Coins+",4718,0,47,78,0,2039,1375,2.62,0.00,47,63,110,130,190,230,320,390,1700,2000,2000,2000
"POST","/PHP/SearchItemsByCategory.php?category=16&categoryName=Computers+",4583,0,47,79,0,2127,1383,2.54,0.00,47,62,94,120,170,230,310,390,2100,2100,2100,2100
"POST","/PHP/SearchItemsByCategory.php?category=19&categoryName=Antiques+%26+Art+",4575,0,47,80,0,2055,1393,2.54,0.00,47,62,94,120,170,230,330,410,1900,2100,2100,2100
"POST","/PHP/SearchItemsByCategory.php?category=19&categoryName=Books+",4707,0,47,81,0,2070,1375,2.61,0.00,47,62,94,130,190,250,340,420,2000,2100,2100,2100
"POST","/PHP/SearchItemsByCategory.php?category=19&categoryName=Business%2C+Office+%26+Industrial+",4677,0,47,80,0,2070,1423,2.60,0.00,47,63,110,130,190,250,310,370,1800,2100,2100,2100
"POST","/PHP/SearchItemsByCategory.php?category=19&categoryName=Clothing+%26+Accessories+",4675,0,33,80,0,2070,1409,2.59,0.00,33,62,94,120,190,250,330,430,1900,2100,2100,2100
"POST","/PHP/SearchItemsByCategory.php?category=19&categoryName=Coins+",4696,0,47,79,0,2096,1375,2.61,0.00,47,63,95,130,190,250,330,390,1800,2100,2100,2100
"POST","/PHP/SearchItemsByCategory.php?category=19&categoryName=Computers+",4594,0,47,81,0,2096,1383,2.55,0.00,47,63,110,130,190,250,330,410,2000,2100,2100,2100
"POST","/PHP/SearchItemsByCategory.php?category=22&categoryName=Antiques+%26+Art+",4541,0,47,81,0,2117,1393,2.52,0.00,47,63,110,130,190,240,330,390,1800,2100,2100,2100
"POST","/PHP/SearchItemsByCategory.php?category=22&categoryName=Books+",4599,0,47,79,0,2109,1375,2.55,0.00,47,62,94,120,170,250,340,430,2000,2100,2100,2100
"POST","/PHP/SearchItemsByCategory.php?category=22&categoryName=Business%2C+Office+%26+Industrial+",4595,0,47,82,0,2125,1423,2.55,0.00,47,63,110,130,190,250,330,410,1800,2100,2100,2100
"POST","/PHP/SearchItemsByCategory.php?category=22&categoryName=Clothing+%26+Accessories+",4678,0,47,80,0,2070,1409,2.60,0.00,47,62,94,130,180,250,310,360,2000,2100,2100,2100
"POST","/PHP/SearchItemsByCategory.php?category=22&categoryName=Coins+",4675,0,47,81,0,2125,1375,2.59,0.00,47,62,95,130,190,250,340,420,1900,2100,2100,2100
"POST","/PHP/SearchItemsByCategory.php?category=22&categoryName=Computers+",4531,0,44,78,0,2109,1383,2.51,0.00,44,62,94,120,190,240,330,410,1900,2100,2100,2100
"POST","/PHP/SearchItemsByCategory.php?category=25&categoryName=Antiques+%26+Art+",4632,0,47,81,0,2124,1393,2.57,0.00,47,63,110,130,190,250,330,420,2000,2100,2100,2100
"POST","/PHP/SearchItemsByCategory.php?category=25&categoryName=Books+",4580,0,47,80,0,2102,1375,2.54,0.00,47,62,94,130,190,240,330,410,2000,2100,2100,2100
"POST","/PHP/SearchItemsByCategory.php?category=25&categoryName=Business%2C+Office+%26+Industrial+",4634,0,47,80,0,2127,1423,2.57,0.00,47,62,94,120,170,240,340,460,2000,2100,2100,2100
"POST","/PHP/SearchItemsByCategory.php?category=25&categoryName=Clothing+%26+Accessories+",4620,0,47,77,0,2086,1409,2.56,0.00,47,63,94,120,170,230,310,380,1800,2100,2100,2100
"POST","/PHP/SearchItemsByCategory.php?category=25&categoryName=Coins+",4632,0,47,80,0,2117,1375,2.57,0.00,47,63,110,130,180,250,330,390,2000,2100,2100,2100
"POST","/PHP/SearchItemsByCategory.php?category=25&categoryName=Computers+",4616,0,47,76,0,2070,1383,2.56,0.00,47,62,94,120,170,230,310,370,1700,2100,2100,2100
"POST","/PHP/SearchItemsByCategory.php?category=28&categoryName=Antiques+%26+Art+",4688,0,47,78,0,2070,1393,2.60,0.00,47,63,110,130,190,230,310,380,1800,2100,2100,2100
"POST","/PHP/SearchItemsByCategory.php?category=28&categoryName=Books+",4714,0,47,81,0,2086,1375,2.62,0.00,47,63,110,130,190,240,330,400,2000,2100,2100,2100
"POST","/PHP/SearchItemsByCategory.php?category=28&categoryName=Business%2C+Office+%26+Industrial+",4568,0,46,78,0,2096,1423,2.54,0.00,47,63,100,130,190,230,320,370,1900,2100,2100,2100
"POST","/PHP/SearchItemsByCategory.php?category=28&categoryName=Clothing+%26+Accessories+",4665,0,33,79,0,3187,1409,2.59,0.00,33,62,94,120,170,230,330,390,2000,3200,3200,3200
