"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"POST","/PHP/SearchItemsByCategory.php?category=10&categoryName=Antiques+%26+Art+",1209,276,7700,11323,66,247467,1074,0.67
"POST","/PHP/SearchItemsByCategory.php?category=10&categoryName=Books+",1214,287,7700,11629,2,142095,1049,0.67
"POST","/PHP/SearchItemsByCategory.php?category=10&categoryName=Business%2C+Office+%26+Industrial+",1155,296,7900,12194,103,213149,1058,0.64
"POST","/PHP/SearchItemsByCategory.php?category=10&categoryName=Clothing+%26+Accessories+",1148,266,7800,12023,58,204533,1082,0.64
"POST","/PHP/SearchItemsByCategory.php?category=10&categoryName=Coins+",1169,279,7900,11700,27,160861,1046,0.65
"POST","/PHP/SearchItemsByCategory.php?category=10&categoryName=Computers+",1228,288,7900,12995,63,255548,1058,0.68
"POST","/PHP/SearchItemsByCategory.php?category=13&categoryName=Antiques+%26+Art+",1209,282,8500,12609,22,197546,1068,0.67
"POST","/PHP/SearchItemsByCategory.php?category=13&categoryName=Books+",1158,256,7600,12261,17,343275,1071,0.64
"POST","/PHP/SearchItemsByCategory.php?category=13&categoryName=Business%2C+Office+%26+Industrial+",1205,270,7700,12245,5,288786,1104,0.67
"POST","/PHP/SearchItemsByCategory.php?category=13&categoryName=Clothing+%26+Accessories+",1243,279,8000,12243,5,243511,1092,0.69
"POST","/PHP/SearchItemsByCategory.php?category=13&categoryName=Coins+",1198,281,7900,11896,58,162301,1052,0.67
"POST","/PHP/SearchItemsByCategory.php?category=13&categoryName=Computers+",1142,294,8100,11942,46,247387,1026,0.63
"POST","/PHP/SearchItemsByCategory.php?category=16&categoryName=Antiques+%26+Art+",1164,287,8000,11470,32,124726,1049,0.65
"POST","/PHP/SearchItemsByCategory.php?category=16&categoryName=Books+",1211,275,7900,11812,16,342240,1062,0.67
"POST","/PHP/SearchItemsByCategory.php?category=16&categoryName=Business%2C+Office+%26+Industrial+",1144,263,8000,12543,34,343268,1095,0.64
"POST","/PHP/SearchItemsByCategory.php?category=16&categoryName=Clothing+%26+Accessories+",1162,280,7900,12436,15,193258,1069,0.65
"POST","/PHP/SearchItemsByCategory.php?category=16&categoryName=Coins+",1228,279,7800,12471,27,232404,1062,0.68
"POST","/PHP/SearchItemsByCategory.php?category=16&categoryName=Computers+",1191,294,8100,13147,11,267580,1041,0.66
"POST","/PHP/SearchItemsByCategory.php?category=19&categoryName=Antiques+%26+Art+",1222,268,7700,12069,28,247500,1087,0.68
"POST","/PHP/SearchItemsByCategory.php?category=19&categoryName=Books+",1194,290,7900,12365,2,206072,1041,0.66
"POST","/PHP/SearchItemsByCategory.php?category=19&categoryName=Business%2C+Office+%26+Industrial+",1144,260,7900,11825,58,182290,1099,0.64
"POST","/PHP/SearchItemsByCategory.php?category=19&categoryName=Clothing+%26+Accessories+",1205,292,8000,12466,4,176777,1067,0.67
"POST","/PHP/SearchItemsByCategory.php?category=19&categoryName=Coins+",1206,256,8000,13197,10,313449,1083,0.67
