"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"POST","/PHP/SearchItemsByCategory.php?category=10&categoryName=Antiques+%26+Art+",871,219,7600,12173,21,73988,1042,0.48
"POST","/PHP/SearchItemsByCategory.php?category=10&categoryName=Books+",907,224,7700,12465,43,71755,1035,0.50
"POST","/PHP/SearchItemsByCategory.php?category=10&categoryName=Business%2C+Office+%26+Industrial+",902,239,7600,12600,12,63767,1045,0.50
"POST","/PHP/SearchItemsByCategory.php?category=10&categoryName=Clothing+%26+Accessories+",879,207,7700,12433,12,130430,1077,0.49
"POST","/PHP/SearchItemsByCategory.php?category=10&categoryName=Coins+",888,189,7700,11950,31,63250,1082,0.49
"POST","/PHP/SearchItemsByCategory.php?category=10&categoryName=Computers+",896,228,8000,12631,4,126389,1031,0.50
"POST","/PHP/SearchItemsByCategory.php?category=13&categoryName=Antiques+%26+Art+",871,219,7700,12268,5,76804,1042,0.48
"POST","/PHP/SearchItemsByCategory.php?category=13&categoryName=Books+",865,222,7600,12003,30,51514,1022,0.48
"POST","/PHP/SearchItemsByCategory.php?category=13&categoryName=Business%2C+Office+%26+Industrial+",824,198,7700,12173,46,55280,1081,0.46
"POST","/PHP/SearchItemsByCategory.php?category=13&categoryName=Clothing+%26+Accessories+",910,223,7500,12292,31,92632,1063,0.51
"POST","/PHP/SearchItemsByCategory.php?category=13&categoryName=Coins+",904,219,7600,12334,32,65834,1041,0.50
"POST","/PHP/SearchItemsByCategory.php?category=13&categoryName=Computers+",928,225,7800,12125,307,67217,1047,0.52
"POST","/PHP/SearchItemsByCategory.php?category=16&categoryName=Antiques+%26+Art+",913,220,7600,12107,39,60158,1057,0.51
"POST","/PHP/SearchItemsByCategory.php?category=16&categoryName=Books+",884,221,7900,12501,4,63487,1031,0.49
"POST","/PHP/SearchItemsByCategory.php?category=16&categoryName=Business%2C+Office+%26+Industrial+",899,218,7800,12471,19,74773,1077,0.50
"POST","/PHP/SearchItemsByCategory.php?category=16&categoryName=Clothing+%26+Accessories+",845,221,8500,13098,34,71237,1040,0.47
"POST","/PHP/SearchItemsByCategory.php?category=16&categoryName=Coins+",850,228,8800,12946,7,75461,1006,0.47
"POST","/PHP/SearchItemsByCategory.php?category=16&categoryName=Computers+",921,210,7700,11958,45,69016,1067,0.51
"POST","/PHP/SearchItemsByCategory.php?category=19&categoryName=Antiques+%26+Art+",906,220,8100,13095,16,128568,1054,0.50
"POST","/PHP/SearchItemsByCategory.php?category=19&categoryName=Books+",913,215,7500,11758,24,56493,1051,0.51
"POST","/PHP/SearchItemsByCategory.php?category=19&categoryName=Business%2C+Office+%26+Industrial+",862,214,8200,12492,13,114664,1069,0.48
"POST","/PHP/SearchItemsByCategory.php?category=19&categoryName=Clothing+%26+Accessories+",865,212,7900,12349,94,80633,1063,0.48
"POST","/PHP/SearchItemsByCategory.php?category=19&categoryName=Coins+",935,215,7600,11888,48,73740,1058,0.52
"POST","/PHP/SearchItemsByCategory.php?category=19&categoryName=Computers+",890,199,7800,12374,487,74775,1073,0.49
"POST","/PHP/SearchItemsByCategory.php?category=22&categoryName=Antiques+%26+Art+",885,231,8400,12929,107,127601,1029,0.49
"POST","/PHP/SearchItemsByCategory.php?category=22&categoryName=Books+",891,220,7600,12329,51,73674,1035,0.50
"POST","/PHP/SearchItemsByCategory.php?category=22&categoryName=Business%2C+Office+%26+Industrial+",891,202,7800,12251,46,125310,1100,0.50
