"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"POST","/PHP/SearchItemsByCategory.php?category=10&categoryName=Antiques+%26+Art+",1052,92,3900,8204,48,103008,1271,0.58
"POST","/PHP/SearchItemsByCategory.php?category=10&categoryName=Books+",1057,97,3700,8147,6,104483,1248,0.59
"POST","/PHP/SearchItemsByCategory.php?category=10&categoryName=Business%2C+Office+%26+Industrial+",986,111,3600,7717,80,108601,1262,0.55
"POST","/PHP/SearchItemsByCategory.php?category=10&categoryName=Clothing+%26+Accessories+",1024,100,3800,8008,21,72989,1271,0.57
"POST","/PHP/SearchItemsByCategory.php?category=10&categoryName=Coins+",954,101,3900,7939,8,76979,1229,0.53
"POST","/PHP/SearchItemsByCategory.php?category=10&categoryName=Computers+",1024,96,3900,7790,19,72417,1253,0.57
"POST","/PHP/SearchItemsByCategory.php?category=13&categoryName=Antiques+%26+Art+",1030,115,4100,8458,11,116278,1237,0.57
"POST","/PHP/SearchItemsByCategory.php?category=13&categoryName=Books+",1061,104,3600,7583,28,67256,1240,0.59
"POST","/PHP/SearchItemsByCategory.php?category=13&categoryName=Business%2C+Office+%26+Industrial+",1002,94,3900,8532,71,106272,1289,0.56
"POST","/PHP/SearchItemsByCategory.php?category=13&categoryName=Clothing+%26+Accessories+",1035,103,4300,8331,71,204772,1268,0.58
"POST","/PHP/SearchItemsByCategory.php?category=13&categoryName=Coins+",1060,95,3800,8126,3,100798,1251,0.59
"POST","/PHP/SearchItemsByCategory.php?category=13&categoryName=Computers+",1103,101,3800,8031,12,76946,1256,0.61
"POST","/PHP/SearchItemsByCategory.php?category=16&categoryName=Antiques+%26+Art+",1054,98,3900,8145,23,64476,1263,0.59
"POST","/PHP/SearchItemsByCategory.php?category=16&categoryName=Books+",1073,100,3800,8048,30,80475,1246,0.60
"POST","/PHP/SearchItemsByCategory.php?category=16&categoryName=Business%2C+Office+%26+Industrial+",1045,127,3700,7791,8,102670,1250,0.58
"POST","/PHP/SearchItemsByCategory.php?category=16&categoryName=Clothing+%26+Accessories+",1034,100,3700,8271,19,104375,1272,0.57
"POST","/PHP/SearchItemsByCategory.php?category=16&categoryName=Coins+",1011,89,3800,8227,10,101170,1253,0.56
"POST","/PHP/SearchItemsByCategory.php?category=16&categoryName=Computers+",1061,98,3900,8434,57,105307,1255,0.59
"POST","/PHP/SearchItemsByCategory.php?category=19&categoryName=Antiques+%26+Art+",1040,90,3900,8141,32,107020,1272,0.58
"POST","/PHP/SearchItemsByCategory.php?category=19&categoryName=Books+",1028,97,3800,8321,26,82494,1245,0.57
"POST","/PHP/SearchItemsByCategory.php?category=19&categoryName=Business%2C+Office+%26+Industrial+",996,104,3800,8156,45,100290,1274,0.55
"POST","/PHP/SearchItemsByCategory.php?category=19&categoryName=Clothing+%26+Accessories+",1087,92,3800,8038,123,97948,1289,0.60
"POST","/PHP/SearchItemsByCategory.php?category=19&categoryName=Coins+",935,101,3800,7706,14,99867,1226,0.52
"POST","/PHP/SearchItemsByCategory.php?category=19&categoryName=Computers+",1044,108,3800,7857,9,55420,1239,0.58
"POST","/PHP/SearchItemsByCategory.php?category=22&categoryName=Antiques+%26+Art+",1010,89,3900,8386,25,112840,1270,0.56
"POST","/PHP/SearchItemsByCategory.php?category=22&categoryName=Books+",1000,83,5000,8802,58,107773,1260,0.56
"POST","/PHP/SearchItemsByCategory.php?category=22&categoryName=Business%2C+Office+%26+Industrial+",1026,104,3800,8258,11,98465,1278,0.57
"POST","/PHP/SearchItemsByCategory.php?category=22&categoryName=Clothing+%26+Accessories+",950,85,3700,7640,3,54387,1282,0.53
"POST","/PHP/SearchItemsByCategory.php?category=22&categoryName=Coins+",1052,103,3800,8358,7,67401,1240,0.58
"POST","/PHP/SearchItemsByCategory.php?category=22&categoryName=Computers+",1069,113,3700,8451,10,104591,1236,0.59
"POST","/PHP/SearchItemsByCategory.php?category=25&categoryName=Antiques+%26+Art+",1003,101,4000,8251,45,105050,1252,0.56
"POST","/PHP/SearchItemsByCategory.php?category=25&categoryName=Books+",1035,89,3800,7753,30,96836,1256,0.58
