"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"POST","/PHP/SearchItemsByCategory.php?category=10&categoryName=Antiques+%26+Art+",234,0,300,409,262,6414,1393,0.13
"POST","/PHP/SearchItemsByCategory.php?category=10&categoryName=Books+",255,0,310,354,260,4023,1375,0.14
"POST","/PHP/SearchItemsByCategory.php?category=10&categoryName=Business%2C+Office+%26+Industrial+",247,2,300,391,4,6430,1411,0.14
"POST","/PHP/SearchItemsByCategory.php?category=10&categoryName=Clothing+%26+Accessories+",213,1,320,393,263,4902,1402,0.12
"POST","/PHP/SearchItemsByCategory.php?category=10&categoryName=Coins+",207,0,300,349,264,3722,1375,0.12
"POST","/PHP/SearchItemsByCategory.php?category=10&categoryName=Computers+",194,2,310,344,201,3722,1368,0.11
"POST","/PHP/SearchItemsByCategory.php?category=13&categoryName=Antiques+%26+Art+",203,3,310,350,3,4309,1372,0.11
"POST","/PHP/SearchItemsByCategory.php?category=13&categoryName=Books+",208,1,300,412,15,5695,1368,0.12
"POST","/PHP/SearchItemsByCategory.php?category=13&categoryName=Business%2C+Office+%26+Industrial+",213,0,300,365,260,4325,1423,0.12
"POST","/PHP/SearchItemsByCategory.php?category=13&categoryName=Clothing+%26+Accessories+",227,0,300,390,261,6514,1409,0.13
"POST","/PHP/SearchItemsByCategory.php?category=13&categoryName=Coins+",206,2,300,351,3,3733,1361,0.11
"POST","/PHP/SearchItemsByCategory.php?category=13&categoryName=Computers+",210,0,310,376,260,4224,1383,0.12
"POST","/PHP/SearchItemsByCategory.php?category=16&categoryName=Antiques+%26+Art+",221,1,300,361,6,6361,1386,0.12
"POST","/PHP/SearchItemsByCategory.php?category=16&categoryName=Books+",226,0,290,352,261,6374,1375,0.13
"POST","/PHP/SearchItemsByCategory.php?category=16&categoryName=Business%2C+Office+%26+Industrial+",220,2,310,359,5,4018,1410,0.12
"POST","/PHP/SearchItemsByCategory.php?category=16&categoryName=Clothing+%26+Accessories+",222,1,310,370,2,4501,1402,0.12
"POST","/PHP/SearchItemsByCategory.php?category=16&categoryName=Coins+",231,2,300,405,2,4165,1363,0.13
"POST","/PHP/SearchItemsByCategory.php?category=16&categoryName=Computers+",227,0,310,358,263,3782,1383,0.13
"POST","/PHP/SearchItemsByCategory.php?category=19&categoryName=Antiques+%26+Art+",223,1,310,425,227,4782,1386,0.12
"POST","/PHP/SearchItemsByCategory.php?category=19&categoryName=Books+",228,2,300,364,6,4069,1362,0.13
"POST","/PHP/SearchItemsByCategory.php?category=19&categoryName=Business%2C+Office+%26+Industrial+",213,2,310,420,2,6461,1409,0.12
"POST","/PHP/SearchItemsByCategory.php?category=19&categoryName=Clothing+%26+Accessories+",217,0,320,411,263,5802,1409,0.12
"POST","/PHP/SearchItemsByCategory.php?category=19&categoryName=Coins+",205,0,290,343,259,2352,1375,0.11
"POST","/PHP/SearchItemsByCategory.php?category=19&categoryName=Computers+",223,1,300,344,3,3974,1376,0.12
"POST","/PHP/SearchItemsByCategory.php?category=22&categoryName=Antiques+%26+Art+",217,0,310,417,255,4920,1393,0.12
"POST","/PHP/SearchItemsByCategory.php?category=22&categoryName=Books+",261,1,300,392,8,6494,1369,0.15
"POST","/PHP/SearchItemsByCategory.php?category=22&categoryName=Business%2C+Office+%26+Industrial+",221,0,300,347,262,4608,1423,0.12
"POST","/PHP/SearchItemsByCategory.php?category=22&categoryName=Clothing+%26+Accessories+",204,1,310,406,3,6458,1402,0.11
"POST","/PHP/SearchItemsByCategory.php?category=22&categoryName=Coins+",223,0,300,352,261,3908,1375,0.12
"POST","/PHP/SearchItemsByCategory.php?category=22&categoryName=Computers+",242,1,320,348,5,1208,1377,0.13
"POST","/PHP/SearchItemsByCategory.php?category=25&categoryName=Antiques+%26+Art+",226,0,310,372,259,4071,1393,0.13
"POST","/PHP/SearchItemsByCategory.php?category=25&categoryName=Books+",214,2,300,368,3,5716,1362,0.12
"POST","/PHP/SearchItemsByCategory.php?category=25&categoryName=Business%2C+Office+%26+Industrial+",210,0,300,367,261,4083,1423,0.12
"POST","/PHP/SearchItemsByCategory.php?category=25&categoryName=Clothing+%26+Accessories+",212,0,310,370,262,4993,1409,0.12
"POST","/PHP/SearchItemsByCategory.php?category=25&categoryName=Coins+",258,1,300,368,54,3714,1369,0.14
"POST","/PHP/SearchItemsByCategory.php?category=25&categoryName=Computers+",200,0,310,387,260,3943,1383,0.11
"POST","/PHP/SearchItemsByCategory.php?category=28&categoryName=Antiques+%26+Art+",245,0,300,334,259,1277,1393,0.14
"POST","/PHP/SearchItemsByCategory.php?category=28&categoryName=Books+",217,1,310,427,4,5664,1368,0.12
"POST","/PHP/SearchItemsByCategory.php?category=28&categoryName=Business%2C+Office+%26+Industrial+",219,3,290,339,1,4033,1403,0.12
"POST","/PHP/SearchItemsByCategory.php?category=28&categoryName=Clothing+%26+Accessories+",222,1,300,353,2,5851,1402,0.12
"POST","/PHP/SearchItemsByCategory.php?category=28&categoryName=Coins+",223,3,310,384,3,4224,1356,0.12
"POST","/PHP/SearchItemsByCategory.php?category=28&categoryName=Computers+",216,0,310,342,262,1212,1383,0.12
"POST","/PHP/SearchItemsByCategory.php?category=31&categoryName=Antiques+%26+Art+",205,1,310,370,4,4938,1386,0.11
"POST","/PHP/SearchItemsByCategory.php?category=31&categoryName=Books+",199,0,290,347,263,3792,1375,0.11
"POST","/PHP/SearchItemsByCategory.php?category=31&categoryName=Business%2C+Office+%26+Industrial+",241,2,310,388,5,6383,1411,0.13
"POST","/PHP/SearchItemsByCategory.php?category=31&categoryName=Clothing+%26+Accessories+",214,2,310,389,2,5758,1395,0.12
"POST","/PHP/SearchItemsByCategory.php?category=31&categoryName=Coins+",235,1,300,383,2,6453,1369,0.13
"POST","/PHP/SearchItemsByCategory.php?category=31&categoryName=Computers+",220,3,310,472,6,6438,1364,0.12
"POST","/PHP/SearchItemsByCategory.php?category=37&categoryName=Antiques+%26+Art+",251,2,310,364,3,3733,1381,0.14
"POST","/PHP/SearchItemsByCategory.php?category=37&categoryName=Books+",225,0,300,381,260,4373,1375,0.13
"POST","/PHP/SearchItemsByCategory.php?category=37&categoryName=Business%2C+Office+%26+Industrial+",215,1,300,373,7,5621,1416,0.12
"POST","/PHP/SearchItemsByCategory.php?category=37&categoryName=Clothing+%26+Accessories+",204,0,300,358,262,3872,1409,0.11
"POST","/PHP/SearchItemsByCategory.php?category=37&categoryName=Coins+",215,1,300,362,256,4522,1368,0.12
"POST","/PHP/SearchItemsByCategory.php?category=37&categoryName=Computers+",231,0,310,370,259,4306,1383,0.13
"POST","/PHP/SearchItemsByCategory.php?category=4&categoryName=Antiques+%26+Art+",219,0,300,395,255,5821,1393,0.12
"POST","/PHP/SearchItemsByCategory.php?category=4&categoryName=Books+",218,1,310,425,2,6503,1368,0.12
"POST","/PHP/SearchItemsByCategory.php?category=4&categoryName=Business%2C+Office+%26+Industrial+",210,1,310,407,10,6055,1416,0.12
"POST","/PHP/SearchItemsByCategory.php?category=4&categoryName=Clothing+%26+Accessories+",233,0,300,391,258,6509,1409,0.13
"POST","/PHP/SearchItemsByCategory.php?category=4&categoryName=Coins+",238,1,310,339,9,912,1369,0.13
"POST","/PHP/SearchItemsByCategory.php?category=4&categoryName=Computers+",266,1,310,400,28,6514,1377,0.15
"POST","/PHP/SearchItemsByCategory.php?category=40&categoryName=Antiques+%26+Art+",198,1,300,407,5,4794,1385,0.11
"POST","/PHP/SearchItemsByCategory.php?category=40&categoryName=Books+",225,2,300,418,2,6448,1362,0.13
"POST","/PHP/SearchItemsByCategory.php?category=40&categoryName=Business%2C+Office+%26+Industrial+",204,1,300,366,11,3778,1416,0.11
"POST","/PHP/SearchItemsByCategory.php?category=40&categoryName=Clothing+%26+Accessories+",234,0,310,372,260,5000,1409,0.13
"POST","/PHP/SearchItemsByCategory.php?category=40&categoryName=Coins+",255,2,310,348,3,3879,1364,0.14
"POST","/PHP/SearchItemsByCategory.php?category=40&categoryName=Computers+",228,0,300,396,262,5868,1383,0.13
"POST","/PHP/SearchItemsByCategory.php?category=58&categoryName=Antiques+%26+Art+",228,1,300,329,2,1298,1386,0.13
"POST","/PHP/SearchItemsByCategory.php?category=58&categoryName=Books+",217,0,310,339,261,801,1375,0.12
"POST","/PHP/SearchItemsByCategory.php?category=58&categoryName=Business%2C+Office+%26+Industrial+",240,0,300,384,261,4079,1423,0.13
"POST","/PHP/SearchItemsByCategory.php?category=58&categoryName=Clothing+%26+Accessories+",244,0,300,428,260,6349,1409,0.14
"POST","/PHP/SearchItemsByCategory.php?category=58&categoryName=Coins+",230,0,310,358,263,3763,1375,0.13
"POST","/PHP/SearchItemsByCategory.php?category=58&categoryName=Computers+",222,2,320,406,53,5690,1370,0.12
"POST","/PHP/SearchItemsByCategory.php?category=61&categoryName=Antiques+%26+Art+",221,1,320,417,260,6393,1386,0.12
"POST","/PHP/SearchItemsByCategory.php?category=61&categoryName=Books+",211,0,300,391,263,4090,1375,0.12
"POST","/PHP/SearchItemsByCategory.php?category=61&categoryName=Business%2C+Office+%26+Industrial+",202,0,300,329,261,888,1423,0.11
"POST","/PHP/SearchItemsByCategory.php?category=61&categoryName=Clothing+%26+Accessories+",256,2,300,388,10,6342,1397,0.14
"POST","/PHP/SearchItemsByCategory.php?category=61&categoryName=Coins+",244,1,290,364,4,6484,1369,0.14
"POST","/PHP/SearchItemsByCategory.php?category=61&categoryName=Computers+",228,0,300,424,258,5651,1383,0.13
"POST","/PHP/SearchItemsByCategory.php?category=64&categoryName=Antiques+%26+Art+",219,0,300,373,260,5639,1393,0.12
"POST","/PHP/SearchItemsByCategory.php?category=64&categoryName=Books+",240,2,310,405,5,5785,1363,0.13
"POST","/PHP/SearchItemsByCategory.php?category=64&categoryName=Business%2C+Office+%26+Industrial+",210,0,300,359,264,5832,1423,0.12
