"Type","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s","Requests Failed/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999","100%"
"POST","/PHP/SearchItemsByCategory.php?category=10&categoryName=Antiques+%26+Art+",1224,0,16,10,0,93,1393,0.68,0.00,16,16,16,16,16,16,25,31,78,94,94,94
"POST","/PHP/SearchItemsByCategory.php?category=10&categoryName=Books+",1157,0,16,10,0,218,1375,0.64,0.00,16,16,16,16,16,16,31,32,78,220,220,220
"POST","/PHP/SearchItemsByCategory.php?category=10&categoryName=Business%2C+Office+%26+Industrial+",1200,0,16,11,0,93,1423,0.67,0.00,16,16,16,16,16,16,31,31,94,94,94,94
"POST","/PHP/SearchItemsByCategory.php?category=10&categoryName=Clothing+%26+Accessories+",1130,0,16,10,0,93,1409,0.63,0.00,16,16,16,16,16,16,17,31,94,94,94,94
"POST","/PHP/SearchItemsByCategory.php?category=10&categoryName=Coins+",1181,0,16,11,0,93,1375,0.66,0.00,16,16,16,16,16,16,31,78,94,94,94,94
"POST","/PHP/SearchItemsByCategory.php?category=10&categoryName=Computers+",1202,0,16,11,0,109,1383,0.67,0.00,16,16,16,16,16,16,31,31,94,110,110,110
"POST","/PHP/SearchItemsByCategory.php?category=13&categoryName=Antiques+%26+Art+",1178,0,16,10,0,93,1393,0.65,0.00,16,16,16,16,16,16,31,31,94,94,94,94
"POST","/PHP/SearchItemsByCategory.php?category=13&categoryName=Books+",1104,0,16,11,0,110,1375,0.61,0.00,16,16,16,16,16,16,31,63,94,110,110,110
"POST","/PHP/SearchItemsByCategory.php?category=13&categoryName=Business%2C+Office+%26+Industrial+",1209,0,16,12,0,1015,1423,0.67,0.00,16,16,16,16,16,16,31,78,80,1000,1000,1000
"POST","/PHP/SearchItemsByCategory.php?category=13&categoryName=Clothing+%26+Accessories+",1182,0,16,10,0,93,1409,0.66,0.00,16,16,16,16,16,16,31,32,78,94,94,94
