"Type","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s","Requests Failed/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999","100%"
"POST","/PHP/SearchItemsByCategory.php?category=10&categoryName=Antiques+%26+Art+",232,0,0,4,0,31,1393,0.13,0.00,0,0,16,16,16,16,16,16,31,31,31,31
"POST","/PHP/SearchItemsByCategory.php?category=10&categoryName=Books+",226,0,0,5,0,93,1375,0.13,0.00,0,0,16,16,16,16,31,47,94,94,94,94
"POST","/PHP/SearchItemsByCategory.php?category=10&categoryName=Business%2C+Office+%26+Industrial+",239,0,0,4,0,31,1423,0.13,0.00,0,0,16,16,16,16,16,17,31,31,31,31
"POST","/PHP/SearchItemsByCategory.php?category=10&categoryName=Clothing+%26+Accessories+",235,0,0,4,0,78,1409,0.13,0.00,0,0,16,16,16,16,16,16,78,78,78,78
"POST","/PHP/SearchItemsByCategory.php?category=10&categoryName=Coins+",227,0,0,5,0,62,1375,0.13,0.00,0,0,16,16,16,16,31,62,63,63,63,63
"POST","/PHP/SearchItemsByCategory.php?category=10&categoryName=Computers+",239,0,0,6,0,79,1383,0.13,0.00,0,1,16,16,16,16,62,63,80,80,80,80
"POST","/PHP/SearchItemsByCategory.php?category=13&categoryName=Antiques+%26+Art+",242,0,0,4,0,62,1393,0.13,0.00,0,0,1,16,16,16,16,26,63,63,63,63
"POST","/PHP/SearchItemsByCategory.php?category=13&categoryName=Books+",238,0,0,4,0,31,1375,0.13,0.00,0,0,13,16,16,16,16,16,31,31,31,31
"POST","/PHP/SearchItemsByCategory.php?category=13&categoryName=Business%2C+Office+%26+Industrial+",206,0,0,7,0,93,1423,0.11,0.00,0,16,16,16,16,16,63,78,94,94,94,94
"POST","/PHP/SearchItemsByCategory.php?category=13&categoryName=Clothing+%26+Accessories+",236,0,0,5,0,62,1409,0.13,0.00,0,0,16,16,16,16,17,17,63,63,63,63
"POST","/PHP/SearchItemsByCategory.php?category=13&categoryName=Coins+",267,0,0,4,0,78,1375,0.15,0.00,0,0,16,16,16,16,16,62,78,78,78,78
"POST","/PHP/SearchItemsByCategory.php?category=13&categoryName=Computers+",231,0,0,5,0,78,1383,0.13,0.00,0,1,16,16,16,16,16,31,78,78,78,78
"POST","/PHP/SearchItemsByCategory.php?category=16&categoryName=Antiques+%26+Art+",221,0,0,5,0,78,1393,0.12,0.00,0,0,16,16,16,16,16,78,78,78,78,78
"POST","/PHP/SearchItemsByCategory.php?category=16&categoryName=Books+",244,0,0,5,0,78,1375,0.14,0.00,0,0,16,16,16,16,17,31,78,78,78,78
"POST","/PHP/SearchItemsByCategory.php?category=16&categoryName=Business%2C+Office+%26+Industrial+",233,0,0,4,0,63,1423,0.13,0.00,0,0,16,16,16,16,16,31,63,63,63,63
"POST","/PHP/SearchItemsByCategory.php?category=16&categoryName=Clothing+%26+Accessories+",219,0,0,5,0,62,1409,0.12,0.00,0,1,16,16,16,16,31,31,63,63,63,63
"POST","/PHP/SearchItemsByCategory.php?category=16&categoryName=Coins+",217,0,0,4,0,31,1375,0.12,0.00,0,0,16,16,16,16,16,17,31,31,31,31
"POST","/PHP/SearchItemsByCategory.php?category=16&categoryName=Computers+",229,0,0,4,0,79,1383,0.13,0.00,0,0,16,16,16,16,16,31,80,80,80,80
"POST","/PHP/SearchItemsByCategory.php?category=19&categoryName=Antiques+%26+Art+",202,0,0,5,0,31,1393,0.11,0.00,0,16,16,16,16,16,16,16,31,31,31,31
"POST","/PHP/SearchItemsByCategory.php?category=19&categoryName=Books+",246,0,0,6,0,78,1375,0.14,0.00,0,11,16,16,16,16,31,62,78,78,78,78
"POST","/PHP/SearchItemsByCategory.php?category=19&categoryName=Business%2C+Office+%26+Industrial+",236,0,0,5,0,62,1423,0.13,0.00,0,0,16,16,16,16,17,26,62,62,62,62
"POST","/PHP/SearchItemsByCategory.php?category=19&categoryName=Clothing+%26+Accessories+",247,0,0,5,0,78,1409,0.14,0.00,0,0,16,16,16,16,16,32,78,78,78,78
"POST","/PHP/SearchItemsByCategory.php?category=19&categoryName=Coins+",229,0,0,6,0,78,1375,0.13,0.00,0,0,16,16,16,16,62,78,78,78,78,78
"POST","/PHP/SearchItemsByCategory.php?category=19&categoryName=Computers+",240,0,0,5,0,62,1383,0.13,0.00,0,0,16,16,16,16,31,47,63,63,63,63
"POST","/PHP/SearchItemsByCategory.php?category=22&categoryName=Antiques+%26+Art+",264,0,0,5,0,78,1393,0.15,0.00,0,0,16,16,16,16,16,63,78,78,78,78
"POST","/PHP/SearchItemsByCategory.php?category=22&categoryName=Books+",245,0,0,5,0,78,1375,0.14,0.00,0,0,16,16,16,16,31,62,78,78,78,78
"POST","/PHP/SearchItemsByCategory.php?category=22&categoryName=Business%2C+Office+%26+Industrial+",239,0,0,7,0,234,1423,0.13,0.00,0,16,16,16,16,16,31,78,230,230,230,230
"POST","/PHP/SearchItemsByCategory.php?category=22&categoryName=Clothing+%26+Accessories+",218,0,0,4,0,62,1409,0.12,0.00,0,0,16,16,16,16,16,31,62,62,62,62
"POST","/PHP/SearchItemsByCategory.php?category=22&categoryName=Coins+",218,0,0,4,0,78,1375,0.12,0.00,0,0,1,16,16,16,16,16,78,78,78,78
"POST","/PHP/SearchItemsByCategory.php?category=22&categoryName=Computers+",233,0,0,3,0,62,1383,0.13,0.00,0,0,0,16,16,16,16,16,62,62,62,62
"POST","/PHP/SearchItemsByCategory.php?category=25&categoryName=Antiques+%26+Art+",258,0,0,5,0,78,1393,0.14,0.00,0,0,16,16,16,16,31,62,78,78,78,78
"POST","/PHP/SearchItemsByCategory.php?category=25&categoryName=Books+",267,0,0,4,0,63,1375,0.15,0.00,0,0,6,16,16,16,16,31,64,64,64,64
"POST","/PHP/SearchItemsByCategory.php?category=25&categoryName=Business%2C+Office+%26+Industrial+",262,0,0,5,0,62,1423,0.15,0.00,0,0,16,16,16,16,31,31,63,63,63,63
"POST","/PHP/SearchItemsByCategory.php?category=25&categoryName=Clothing+%26+Accessories+",260,0,0,5,0,94,1409,0.14,0.00,0,0,16,16,16,16,16,17,95,95,95,95
"POST","/PHP/SearchItemsByCategory.php?category=25&categoryName=Coins+",243,0,0,4,0,62,1375,0.13,0.00,0,0,13,16,16,16,17,31,62,62,62,62
"POST","/PHP/SearchItemsByCategory.php?category=25&categoryName=Computers+",226,0,0,4,0,62,1383,0.13,0.00,0,0,16,16,16,16,16,16,63,63,63,63
"POST","/PHP/SearchItemsByCategory.php?category=28&categoryName=Antiques+%26+Art+",237,0,0,5,0,62,1393,0.13,0.00,0,0,16,16,16,16,31,62,63,63,63,63
"POST","/PHP/SearchItemsByCategory.php?category=28&categoryName=Books+",220,0,0,5,0,109,1375,0.12,0.00,0,0,16,16,16,16,31,63,110,110,110,110
"POST","/PHP/SearchItemsByCategory.php?category=28&categoryName=Business%2C+Office+%26+Industrial+",216,0,0,5,0,78,1423,0.12,0.00,0,0,16,16,16,16,17,47,78,78,78,78
"POST","/PHP/SearchItemsByCategory.php?category=28&categoryName=Clothing+%26+Accessories+",228,0,0,4,0,62,1409,0.13,0.00,0,0,16,16,16,16,16,17,63,63,63,63
"POST","/PHP/SearchItemsByCategory.php?category=28&categoryName=Coins+",224,0,0,5,0,78,1375,0.12,0.00,0,0,16,16,16,16,16,62,78,78,78,78
"POST","/PHP/SearchItemsByCategory.php?category=28&categoryName=Computers+",232,0,0,4,0,62,1383,0.13,0.00,0,0,16,16,16,16,16,31,63,63,63,63
"POST","/PHP/SearchItemsByCategory.php?category=31&categoryName=Antiques+%26+Art+",245,0,0,5,0,79,1393,0.14,0.00,0,0,16,16,16,16,31,78,80,80,80,80
"POST","/PHP/SearchItemsByCategory.php?category=31&categoryName=Books+",252,0,0,5,0,62,1375,0.14,0.00,0,0,16,16,16,16,16,31,62,62,62,62
"POST","/PHP/SearchItemsByCategory.php?category=31&categoryName=Business%2C+Office+%26+Industrial+",217,0,0,5,0,62,1423,0.12,0.00,0,0,16,16,16,16,17,31,62,62,62,62
"POST","/PHP/SearchItemsByCategory.php?category=31&categoryName=Clothing+%26+Accessories+",230,0,0,5,0,171,1409,0.13,0.00,0,0,16,16,16,16,17,62,170,170,170,170
"POST","/PHP/SearchItemsByCategory.php?category=31&categoryName=Coins+",224,0,0,6,0,93,1375,0.12,0.00,0,0,16,16,16,16,62,78,94,94,94,94
"POST","/PHP/SearchItemsByCategory.php?category=31&categoryName=Computers+",224,0,0,5,0,93,1383,0.12,0.00,0,0,16,16,16,16,16,17,94,94,94,94
