"Type","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s","Requests Failed/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999","100%"
"POST","/PHP/SearchItemsByCategory.php?category=10&categoryName=Antiques+%26+Art+",2235,0,140,83,0,312,1393,1.24,0.00,140,140,140,140,160,160,190,220,270,310,310,310
"POST","/PHP/SearchItemsByCategory.php?category=10&categoryName=Books+",2335,0,47,80,0,281,1375,1.30,0.00,47,140,140,140,160,160,190,200,250,280,280,280
"POST","/PHP/SearchItemsByCategory.php?category=10&categoryName=Business%2C+Office+%26+Industrial+",2367,0,130,83,0,1180,1423,1.31,0.00,130,140,140,140,160,160,190,220,330,1200,1200,1200
"POST","/PHP/SearchItemsByCategory.php?category=10&categoryName=Clothing+%26+Accessories+",2303,0,140,85,0,1206,1409,1.28,0.00,140,140,140,140,160,160,180,220,1200,1200,1200,1200
"POST","/PHP/SearchItemsByCategory.php?category=10&categoryName=Coins+",2392,0,31,81,0,1143,1375,1.33,0.00,31,140,140,140,160,160,190,220,300,1100,1100,1100
"POST","/PHP/SearchItemsByCategory.php?category=10&categoryName=Computers+",2303,0,63,81,0,281,1383,1.28,0.00,63,140,140,140,160,160,190,220,250,280,280,280
"POST","/PHP/SearchItemsByCategory.php?category=13&categoryName=Antiques+%26+Art+",2407,0,31,80,0,1156,1393,1.34,0.00,31,140,140,140,160,160,190,210,300,1200,1200,1200
"POST","/PHP/SearchItemsByCategory.php?category=13&categoryName=Books+",2408,0,140,83,0,1171,1375,1.34,0.00,140,140,140,140,160,160,200,230,270,1200,1200,1200
"POST","/PHP/SearchItemsByCategory.php?category=13&categoryName=Business%2C+Office+%26+Industrial+",2302,1,140,85,0,3157,1422,1.28,0.00,140,140,140,140,160,160,190,220,1100,3200,3200,3200
"POST","/PHP/SearchItemsByCategory.php?category=13&categoryName=Clothing+%26+Accessories+",2317,0,110,83,0,1150,1409,1.29,0.00,110,140,140,140,160,160,190,220,280,1200,1200,1200
"POST","/PHP/SearchItemsByCategory.php?category=13&categoryName=Coins+",2339,0,47,81,0,1140,1375,1.30,0.00,47,140,140,140,160,160,190,220,280,1100,1100,1100
"POST","/PHP/SearchItemsByCategory.php?category=13&categoryName=Computers+",2332,0,140,83,0,1174,1383,1.29,0.00,140,140,140,140,160,160,190,220,270,1200,1200,1200
"POST","/PHP/SearchItemsByCategory.php?category=16&categoryName=Antiques+%26+Art+",2279,0,47,81,0,1140,1393,1.27,0.00,47,140,140,140,160,160,170,220,270,1100,1100,1100
"POST","/PHP/SearchItemsByCategory.php?category=16&categoryName=Books+",2368,0,140,83,0,1140,1375,1.31,0.00,140,140,140,140,160,160,200,220,270,1100,1100,1100
"POST","/PHP/SearchItemsByCategory.php?category=16&categoryName=Business%2C+Office+%26+Industrial+",2290,0,78,83,0,1188,1423,1.27,0.00,78,140,140,140,160,160,190,220,1100,1200,1200,1200
"POST","/PHP/SearchItemsByCategory.php?category=16&categoryName=Clothing+%26+Accessories+",2333,1,31,80,0,1171,1408,1.30,0.00,31,140,140,140,160,160,190,220,270,1200,1200,1200
"POST","/PHP/SearchItemsByCategory.php?category=16&categoryName=Coins+",2279,0,130,83,0,1173,1375,1.27,0.00,130,140,140,140,160,160,190,220,360,1200,1200,1200
